Source,User ID,Source
Instagram,AAE1542675,Instagram
Instagram,AAG1139819,Instagram
Instagram,AAQ1920322,Instagram
Snapchat,AAR2036663,Snapchat
Offline Campaign,AAT397791,Offline Campaign
Offline Campaign,AAX617733,Offline Campaign
Offline Campaign,ABB4102768,Offline Campaign
Google,ABJ208964,Google
Organic,ABJ2575621,Organic
Facebook,ABL1814739,Facebook
Google,ABR1684537,Google
Facebook,ABZ1462598,Facebook
Instagram,ABZ2530450,Instagram
Instagram,ABZ520175,Instagram
Instagram,ACA228688,Instagram
Organic,ACC217442,Organic
Google,ACC934782,Google
Organic,ACJ1088413,Organic
Instagram,ACK2490276,Instagram
Offline Campaign,ACK2566954,Offline Campaign
Offline Campaign,ACR2560129,Offline Campaign
Organic,ACV1389043,Organic
Snapchat,ACY1277631,Snapchat
Snapchat,ADF288047,Snapchat
Google,ADF59546,Google
Facebook,ADU1855215,Facebook
Facebook,ADY2581375,Facebook
Instagram,AEA159414,Instagram
Snapchat,AEA1855425,Snapchat
Snapchat,AEF1162685,Snapchat
Offline Campaign,AEI136750,Offline Campaign
Snapchat,AEO1455773,Snapchat
Google,AFB1613116,Google
Organic,AFJ6101622,Organic
Offline Campaign,AFM811103,Offline Campaign
Offline Campaign,AFP1458314,Offline Campaign
Instagram,AFR1386931,Instagram
Snapchat,AGG1915807,Snapchat
Facebook,AGL1596852,Facebook
Facebook,AHA2443395,Facebook
Snapchat,AHE331272,Snapchat
Instagram,AHH1183376,Instagram
Offline Campaign,AHJ1330336,Offline Campaign
Facebook,AHW1574421,Facebook
Offline Campaign,AHX630603,Offline Campaign
Instagram,AIH587729,Instagram
Instagram,AIS141943,Instagram
Offline Campaign,AIV2551324,Offline Campaign
Facebook,AJD974439,Facebook
Instagram,AJI2623796,Instagram
Instagram,AJM1390357,Instagram
Facebook,AKB2293372,Facebook
Offline Campaign,AKD2233027,Offline Campaign
Facebook,AKF1324090,Facebook
Snapchat,AKG198688,Snapchat
Facebook,AKI563159,Facebook
Facebook,AKZ1759142,Facebook
Offline Campaign,ALD1668247,Offline Campaign
Offline Campaign,ALG22104823,Offline Campaign
Offline Campaign,ALG333861,Offline Campaign
Snapchat,ALL6106833,Snapchat
Google,ALU2338643,Google
Facebook,ALX1148141,Facebook
Organic,ALZ835958,Organic
Offline Campaign,AMB555764,Offline Campaign
Offline Campaign,AME1940182,Offline Campaign
Instagram,AMF1162328,Instagram
Google,AMF1660735,Google
Organic,AMH1824831,Organic
Snapchat,AMS581435,Snapchat
Instagram,AMT2367167,Instagram
Instagram,AMU2617838,Instagram
Offline Campaign,ANM2559811,Offline Campaign
Snapchat,ANO1867731,Snapchat
Offline Campaign,ANO779404,Offline Campaign
Organic,ANS2449566,Organic
Instagram,ANV6108306,Instagram
Offline Campaign,ANZ2344919,Offline Campaign
Instagram,ANZ2354957,Instagram
Snapchat,AOA130330,Snapchat
Google,AOA945003,Google
Facebook,AOB1247994,Facebook
Snapchat,AOG417025,Snapchat
Snapchat,AOP2165493,Snapchat
Facebook,AOR169453,Facebook
Organic,AOR1825728,Organic
Google,AOU169003,Google
Snapchat,APA446179,Snapchat
Snapchat,API764896,Snapchat
Snapchat,APP937929,Snapchat
Organic,APQ2413449,Organic
Offline Campaign,APS1528866,Offline Campaign
Google,APS883061,Google
Offline Campaign,APU646239,Offline Campaign
Organic,APX750703,Organic
Offline Campaign,AQD2690402,Offline Campaign
Facebook,AQD846740,Facebook
Organic,AQH11104640,Organic
Instagram,AQH1833351,Instagram
Organic,AQI2107775,Organic
Instagram,AQJ17104619,Instagram
Snapchat,AQQ2537344,Snapchat
Instagram,ARC545648,Instagram
Facebook,ARL13108354,Facebook
Instagram,ARM228301,Instagram
Offline Campaign,ARN134716,Offline Campaign
Snapchat,ARN2550730,Snapchat
Instagram,ARS179344,Instagram
Organic,ARS395418,Organic
Organic,ARV2115684,Organic
Google,ASB2124933,Google
Snapchat,ASG422983,Snapchat
Offline Campaign,ASI2227480,Offline Campaign
Organic,ASM2010830,Organic
Offline Campaign,ASN10109716,Offline Campaign
Google,ASN1611670,Google
Offline Campaign,ASN2431476,Offline Campaign
Snapchat,ASY139795,Snapchat
Organic,ATB4106308,Organic
Instagram,ATB545939,Instagram
Facebook,ATC1238322,Facebook
Snapchat,ATG14101904,Snapchat
Facebook,ATM867131,Facebook
Snapchat,ATN2243860,Snapchat
Organic,ATO237404,Organic
Snapchat,ATO829331,Snapchat
Instagram,ATQ2058134,Instagram
Facebook,ATW15106137,Facebook
Instagram,ATY313446,Instagram
Organic,AUE617406,Organic
Snapchat,AUJ334275,Snapchat
Instagram,AUQ1138256,Instagram
Facebook,AUV989595,Facebook
Snapchat,AUZ1835427,Snapchat
Organic,AVG2032214,Organic
Instagram,AVK26103008,Instagram
Facebook,AVN1873224,Facebook
Facebook,AVW2145021,Facebook
Snapchat,AVW2283526,Snapchat
Google,AVY2028698,Google
Instagram,AWF565310,Instagram
Snapchat,AWI180553,Snapchat
Facebook,AWL958608,Facebook
Facebook,AWM2258380,Facebook
Offline Campaign,AWP1211478,Offline Campaign
Snapchat,AWS1725125,Snapchat
Organic,AWV410077,Organic
Offline Campaign,AXI2035466,Offline Campaign
Offline Campaign,AXJ1062982,Offline Campaign
Offline Campaign,AXP514397,Offline Campaign
Facebook,AXQ546878,Facebook
Instagram,AXT2064872,Instagram
Snapchat,AXU2345978,Snapchat
Instagram,AXU2658005,Instagram
Facebook,AYB7100005,Facebook
Facebook,AYE2171847,Facebook
Facebook,AYO284696,Facebook
Offline Campaign,AYQ748894,Offline Campaign
Organic,AYR2558191,Organic
Facebook,AYU320733,Facebook
Instagram,AYX694254,Instagram
Instagram,AYZ895190,Instagram
Instagram,AZB1142270,Instagram
Google,AZB2127189,Google
Instagram,AZD2425377,Instagram
Facebook,AZF150964,Facebook
Snapchat,AZJ240224,Snapchat
Snapchat,AZT376215,Snapchat
Organic,AZV920859,Organic
Facebook,BAB1741940,Facebook
Google,BAD129735,Google
Organic,BAI897848,Organic
Organic,BBJ27461,Organic
Instagram,BBL345000,Instagram
Instagram,BBP18100596,Instagram
Instagram,BCG1391833,Instagram
Organic,BCM2243290,Organic
Offline Campaign,BCM942612,Offline Campaign
Instagram,BCO1862550,Instagram
Snapchat,BCX1346083,Snapchat
Snapchat,BCX876152,Snapchat
Snapchat,BDA435070,Snapchat
Facebook,BDD119131,Facebook
Google,BDD469546,Google
Snapchat,BDF459439,Snapchat
Instagram,BDG589514,Instagram
Offline Campaign,BDJ217719,Offline Campaign
Google,BDL2421207,Google
Organic,BDN2510449,Organic
Google,BDX17106611,Google
Facebook,BEJ1761365,Facebook
Offline Campaign,BEK1546530,Offline Campaign
Offline Campaign,BFI5100569,Offline Campaign
Organic,BFJ945051,Organic
Google,BFS1522995,Google
Instagram,BFZ576344,Instagram
Snapchat,BGD1837734,Snapchat
Facebook,BGD460711,Facebook
Snapchat,BGE142423,Snapchat
Offline Campaign,BGI2443926,Offline Campaign
Organic,BGK2661056,Organic
Offline Campaign,BGL1659247,Offline Campaign
Facebook,BGN1786904,Facebook
Offline Campaign,BGQ2257873,Offline Campaign
Organic,BGR1540425,Organic
Facebook,BGR195487,Facebook
Instagram,BGR2372960,Instagram
Organic,BGU862376,Organic
Facebook,BGV1029286,Facebook
Organic,BGX151549,Organic
Snapchat,BHA2619938,Snapchat
Instagram,BHC682794,Instagram
Google,BHH277007,Google
Offline Campaign,BHI684087,Offline Campaign
Offline Campaign,BHK113605,Offline Campaign
Instagram,BHN2287105,Instagram
Google,BHQ1036549,Google
Facebook,BHT2042897,Facebook
Instagram,BHW320391,Instagram
Organic,BHY2256958,Organic
Offline Campaign,BIA399933,Offline Campaign
Instagram,BID2055647,Instagram
Instagram,BIF766918,Instagram
Instagram,BIM1434980,Instagram
Offline Campaign,BIN896666,Offline Campaign
Instagram,BJC825098,Instagram
Instagram,BJJ2694494,Instagram
Offline Campaign,BJN219816,Offline Campaign
Instagram,BJT343335,Instagram
Snapchat,BJU483895,Snapchat
Snapchat,BJY1268652,Snapchat
Facebook,BJZ1658548,Facebook
Organic,BKE19107637,Organic
Offline Campaign,BKJ696606,Offline Campaign
Instagram,BKZ1731230,Instagram
